EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MOUNT LAUREL, NJ",1/7/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",1/8/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FRANKLIN, TN",1/9/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"TULSA, OK",1/9/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PHOENIX, AZ",1/10/15,1/10/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CAMDEN, NJ",1/13/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FRANKLIN, TN",1/13/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"RENTON, WA",1/13/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CLYDE, OH",1/19/15,1/19/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PORTAGE, MI",1/20/15,1/21/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"GREENVILLE, SC",1/27/15,1/27/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"DUBUQUE, IA",1/27/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LAS VEGAS, NV",1/29/15,1/29/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",1/30/15,1/30/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BENTON HARBOR, MI",2/4/15,2/4/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PAINTED POST, NY",2/4/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FRANKLIN, TN",2/4/15,2/4/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MOUNT LAUREL, NJ",2/9/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CHANDLER, AZ",2/9/15,2/9/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FORT LAUDERDALE, FL",2/9/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MERCER ISLAND, WA",2/10/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FRANKLIN, TN",2/11/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CHANDLER, AZ",2/12/15,6/18/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",2/16/15,2/16/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",2/27/15,2/27/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",3/16/15,3/16/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"WEBSTER, NY",4/22/15,4/22/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"HOLLAND, MI",4/28/15,4/28/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"GREENVILLE, SC",4/30/15,4/30/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LIVERPOOL, NY",5/4/15,5/4/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LYNCHBURG, VA",5/6/15,5/6/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"IRVINE, CA",6/4/15,6/4/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",6/5/15,6/5/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"IRVINE, CA",6/8/15,6/8/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"IRVINE, CA",6/10/15,6/10/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"JOHNSTON, IA",6/17/15,6/17/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"LAS VEGAS, NV",6/23/15,6/23/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BENTON HARBOR, MI",6/29/15,6/29/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BOTHELL, WA",7/1/15,7/1/15,DENIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FOLSOM, CA",7/8/15,7/8/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BOTHELL, WA",7/9/15,7/9/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",7/17/15,7/17/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BENTON HARBOR, MI",7/23/15,7/23/15,CERTIFIED
